order_item_id,order_id,customer_id,product_id,order_date,return_reason,refund_amount,days_to_return,item_discount_pct,prior_customer_return_rate,iso_score,iso_flag,abuse_flag
OI001045017,O00400679,C037729,P00860,2024-01-01,changed_mind,250.8,24.0,0.2412,1.0,0.10981651939966608,1,0
OI000541919,O00207582,C019618,P02146,2024-06-19,damaged,376.64,21.0,0.3521,0.5,0.1075290543013242,1,0
OI001125441,O00431502,C040605,P02457,2025-04-06,size_issue,271.52,17.0,0.1592,0.5,0.10302810428489195,1,0
OI001341456,O00514206,C048426,P04216,2025-03-08,changed_mind,422.53,36.0,0.1452,0.3829787234042553,0.1029545198673757,1,1
OI000189800,O00072689,C006764,P04527,2025-05-25,size_issue,332.87,13.0,0.2071,0.2727272727272727,0.10205519816390785,1,0
OI000454305,O00174190,C016503,P01844,2024-05-21,not_as_expected,484.15,8.0,0.3442,1.0,0.10166583393530593,1,1
OI000249164,O00095456,C008911,P04514,2024-01-12,damaged,308.51,22.0,0.0657,0.0,0.09957840044075861,1,0
OI001228880,O00471296,C044388,P02146,2025-11-13,changed_mind,440.56,36.0,0.1611,0.1690140845070422,0.09943812019310583,1,0
OI001177710,O00451807,C042533,P02610,2025-11-09,size_issue,331.77,28.0,0.2875,0.3643410852713178,0.09831765366905443,1,1
OI001075517,O00412272,C038796,P01905,2025-08-08,changed_mind,319.94,23.0,0.1918,0.2333333333333333,0.09715006424417028,1,0
OI000881501,O00338051,C031932,P01011,2025-10-14,changed_mind,307.79,22.0,0.2225,0.1111111111111111,0.09691885089840424,1,0
OI001294924,O00496440,C046745,P02146,2025-07-26,size_issue,390.36,35.0,0.2352,0.074074074074074,0.09643330802561323,1,0
OI000487650,O00186802,C017659,P01837,2025-10-14,size_issue,396.59,16.0,0.1207,0.0727272727272727,0.09639370064728792,1,0
OI000031196,O00011943,C001111,P01837,2024-12-05,late_delivery,348.8,29.0,0.1546,0.14,0.09601368239058683,1,0
OI000003055,O00001139,C000103,P03467,2025-05-14,size_issue,312.71,34.0,0.149,0.2857142857142857,0.0954273625303178,1,1
OI000678705,O00260060,C024530,P01011,2024-12-18,size_issue,300.3,20.0,0.1963,0.0,0.09533032776349548,1,0
OI001208634,O00463575,C043685,P01837,2025-03-09,size_issue,451.4,11.0,0.0677,0.1842105263157894,0.0952954951876277,1,0
OI000782987,O00300217,C028315,P04096,2024-12-13,changed_mind,413.58,4.0,0.177,0.1818181818181818,0.0952098446311449,1,0
OI000627784,O00240483,C022706,P02643,2025-10-23,changed_mind,380.64,19.0,0.2664,0.0952380952380952,0.09474193840040113,1,0
OI000220274,O00084355,C007856,P00860,2024-07-24,not_as_expected,273.79,6.0,0.2304,0.3333333333333333,0.09359662962511883,1,0
OI000023111,O00008916,C000832,P02876,2024-03-07,size_issue,343.29,30.0,0.2508,0.2857142857142857,0.0930276038207396,1,0
OI001154952,O00443000,C041671,P01129,2025-11-26,damaged,758.04,36.0,0.2635,0.0909090909090909,0.09296465443761914,1,0
OI000893967,O00342847,C032368,P02281,2024-04-22,changed_mind,493.22,33.0,0.2078,0.2631578947368421,0.09241635442383778,1,1
OI000502179,O00192299,C018175,P03768,2024-09-04,suspected_abuse,350.38,10.0,0.1554,0.2698412698412698,0.09172271995965509,1,1
OI001146956,O00439846,C041401,P03544,2025-05-25,suspected_abuse,655.24,31.0,0.3026,0.1428571428571428,0.09131374223602817,1,1
OI001061552,O00406802,C038270,P02362,2025-08-04,suspected_abuse,716.44,37.0,0.1065,0.2947368421052631,0.09111615005458373,1,1
OI000160463,O00061400,C005724,P03848,2024-02-25,damaged,376.22,22.0,0.2529,0.25,0.0909080984772851,1,0
OI000504080,O00192995,C018229,P02146,2025-03-22,size_issue,491.4,13.0,0.0814,0.1956521739130435,0.09068895968429214,1,0
OI000494686,O00189432,C017900,P02146,2025-10-28,damaged,421.37,35.0,0.0647,0.2051282051282051,0.08964107623793849,1,0
OI001093482,O00419140,C039440,P01905,2025-06-24,not_as_expected,314.39,34.0,0.2676,0.1875,0.08864103419411595,1,0
OI000135628,O00051777,C004832,P01898,2025-08-17,changed_mind,307.94,26.0,0.1567,0.0,0.08840122904631664,1,0
OI001322375,O00506943,C047740,P02146,2024-11-13,size_issue,355.4,6.0,0.2948,0.1,0.08839196844569808,1,0
OI001079006,O00413583,C038917,P00552,2025-09-17,size_issue,258.5,2.0,0.0988,0.2,0.0877917082068349,1,0
OI000821282,O00314843,C029723,P01905,2025-11-22,size_issue,257.22,19.0,0.2754,0.5,0.0873527528198551,1,0
OI001044758,O00400586,C037719,P04166,2025-05-15,size_issue,332.62,4.0,0.0996,0.09375,0.08714945179129374,1,0
OI000894050,O00342860,C032368,P02936,2025-02-18,not_as_expected,480.38,5.0,0.1447,0.3163265306122449,0.08704281341375808,1,1
OI000054706,O00020955,C001994,P01011,2025-04-19,not_as_expected,288.58,18.0,0.0468,0.1052631578947368,0.08696090865755712,1,0
OI001295639,O00496709,C046770,P04527,2024-12-20,size_issue,352.81,30.0,0.2346,0.0909090909090909,0.08667899338199903,1,0
OI000560221,O00214625,C020299,P01624,2025-06-03,size_issue,363.48,28.0,0.2906,0.3,0.08638369766550169,1,0
OI000646006,O00247377,C023339,P02833,2025-01-14,damaged,612.36,27.0,0.2147,0.1363636363636363,0.08631412076243139,1,0
OI001297695,O00497484,C046849,P02674,2025-05-06,damaged,272.01,38.0,0.1253,0.0434782608695652,0.08623747104726809,1,0
OI000041726,O00016063,C001521,P03916,2024-04-01,size_issue,279.12,21.0,0.193,1.0,0.0854270050570507,1,0
OI000364310,O00139763,C013156,P04166,2025-06-22,changed_mind,291.29,28.0,0.2891,0.088235294117647,0.0846045137277529,1,0
OI001042415,O00399766,C037656,P01898,2025-10-07,size_issue,281.59,25.0,0.2187,0.1666666666666666,0.08440886515803203,1,0
OI000027552,O00010611,C000999,P00860,2025-03-16,suspected_abuse,339.63,5.0,0.0995,0.1176470588235294,0.08432020355023706,1,1
OI000461435,O00176952,C016745,P01905,2025-10-03,damaged,329.37,30.0,0.0867,0.203125,0.08380083571833497,1,0
OI001336180,O00512213,C048235,P02889,2024-01-22,size_issue,295.12,15.0,0.134,1.0,0.08320201356129975,1,0
OI000947205,O00363214,C034239,P00552,2025-12-16,not_as_expected,259.3,4.0,0.1054,0.1,0.08202977043034787,1,0
OI000646891,O00247704,C023368,P02770,2024-03-15,suspected_abuse,407.42,4.0,0.1703,0.5,0.0814779456653153,1,1
OI000943072,O00361569,C034089,P01377,2024-11-24,not_as_expected,465.69,21.0,0.2585,0.1923076923076923,0.08142101644463051,1,0
OI001314900,O00504123,C047492,P04504,2024-10-26,size_issue,288.82,20.0,0.1287,1.0,0.08112810147370919,1,0
OI000051715,O00019783,C001867,P03467,2025-01-09,suspected_abuse,298.72,21.0,0.0725,0.1851851851851851,0.08088652309495059,1,1
OI000026104,O00010055,C000942,P04415,2024-05-21,late_delivery,310.35,18.0,0.1469,1.0,0.08027749352304658,1,0
OI000122965,O00046988,C004379,P02017,2024-03-14,changed_mind,239.07,38.0,0.288,0.2857142857142857,0.08021593854445241,1,0
OI000581258,O00222666,C021063,P01319,2024-12-03,changed_mind,252.81,7.0,0.2365,0.0,0.07996514784743991,1,0
