mart,feature,ref_mean,cur_mean,mean_delta_pct,ks_stat,ks_pval,psi,psi_band,status
mart_customer_features,recency_days,60.9634,63.4912,4.15,0.0382,0.001355,0.0119,stable,ALERT
mart_customer_features,total_orders,11.2847,9.4826,-15.97,0.1428,0.0,0.0938,stable,ALERT
mart_customer_features,total_net_revenue,1579.534,1236.3864,-21.72,0.189,0.0,0.1437,moderate,ALERT
mart_customer_features,avg_order_value,128.4787,123.0221,-4.25,0.0634,0.0,0.0097,stable,ALERT
mart_customer_features,return_rate_per_unit,0.124,0.1223,-1.42,0.0336,0.007068,0.0072,stable,ALERT
mart_customer_features,churn_flag_90d,0.1675,0.18,7.49,0.0042,1.0,0.0001,stable,OK
mart_product_demand,units_sold,2.0723,2.6288,26.86,0.1062,0.0,0.0684,stable,ALERT
mart_returns_risk,item_discount_pct,0.1987,0.2082,4.82,0.0598,0.0,0.017,stable,ALERT
mart_returns_risk,refund_amount,51.3526,50.6655,-1.34,0.025,0.087865,0.0013,stable,OK
mart_returns_risk,prior_customer_return_rate,0.1438,0.148,2.87,0.1216,0.0,0.0903,stable,ALERT
mart_returns_risk,recent_product_return_events,4.0981,4.5566,11.19,0.0784,0.0,0.0695,stable,ALERT
