feature,single_feature_auc_train,auto_leak_threshold,auto_flag,action,reasons
customer_id,1.0,0.95,True,drop,rule_blacklist_exact;auto_leak_auc>=0.95
last_order_date,1.0,0.95,True,drop,rule_blacklist_exact;rule_blacklist_contains:last_order;auto_leak_auc>=0.95
recency_days,1.0,0.95,True,drop,rule_blacklist_exact;rule_blacklist_contains:recency;auto_leak_auc>=0.95
first_order_date,0.7140268636062124,0.95,False,drop,rule_blacklist_exact
signup_date,0.6723248354218117,0.95,False,drop,rule_blacklist_exact
total_units,0.7598821048286999,0.95,False,keep,none
total_orders,0.7593828165602421,0.95,False,keep,none
customer_value_band,0.7536139679227151,0.95,False,keep,none
total_net_revenue,0.7510652586335824,0.95,False,keep,none
total_discount_amount,0.7497894538755552,0.95,False,keep,none
customer_segment_seed,0.7416714808892069,0.95,False,keep,none
total_returns,0.7237583933657183,0.95,False,keep,none
spend_rank_in_region,0.6544224613409771,0.95,False,keep,none
sessions_add_to_cart,0.6522088702997776,0.95,False,keep,none
total_sessions,0.6490955504709756,0.95,False,keep,none
sessions_with_purchase,0.6483486396387628,0.95,False,keep,none
avg_basket_size,0.6410667313851093,0.95,False,keep,none
total_refund_amount,0.6348202261640556,0.95,False,keep,none
avg_pages_viewed,0.6215330358154154,0.95,False,keep,none
avg_order_value,0.6074384526813268,0.95,False,keep,none
revenue_per_order,0.6074384526813268,0.95,False,keep,none
avg_session_minutes,0.5984948245087224,0.95,False,keep,none
tenure_days,0.5794455240908021,0.95,False,keep,none
campaigns_targeted,0.5698302940915101,0.95,False,keep,none
campaigns_treatment,0.5578328128538093,0.95,False,keep,none
loyalty_tier,0.537753066435029,0.95,False,keep,none
avg_item_margin,0.5377366780608809,0.95,False,keep,none
income_band,0.5373711283506589,0.95,False,keep,none
campaign_revenue_30d,0.5352034740851555,0.95,False,keep,none
campaigns_converted_30d,0.5250437633672218,0.95,False,keep,none
online_order_share,0.5238545844455109,0.95,False,keep,none
store_order_share,0.5238545844455109,0.95,False,keep,none
avg_item_discount_pct,0.5138951655569104,0.95,False,keep,none
is_marketing_opt_in,0.5123090299117954,0.95,False,keep,none
region,0.5077833326042026,0.95,False,keep,none
city_tier,0.5066651618959299,0.95,False,keep,none
preferred_channel,0.5033975398650063,0.95,False,keep,none
return_rate_per_unit,0.5009000018537669,0.95,False,keep,none
avg_days_to_return,0.5003362457469338,0.95,False,keep,none
