region,city_tier,preferred_channel,loyalty_tier,income_band,customer_segment_seed,is_marketing_opt_in,total_orders,total_net_revenue,avg_order_value,total_discount_amount,avg_basket_size,tenure_days,revenue_per_order,online_order_share,store_order_share,total_units,avg_item_discount_pct,avg_item_margin,total_returns,total_refund_amount,avg_days_to_return,return_rate_per_unit,total_sessions,avg_session_minutes,avg_pages_viewed,sessions_add_to_cart,sessions_with_purchase,campaigns_targeted,campaigns_treatment,campaigns_converted_30d,campaign_revenue_30d,customer_value_band,spend_rank_in_region,actual_churn,score_churn_proba,rank
Central,Tier_1,online,platinum,low,one_time,True,1.0,20.78,20.78,3.59,1.0,744,20.78,1.0,0.0,1.0,0.1472,7.34,0.0,,,0.0,4.0,45.25,4.5,1.0,1.0,2.0,1.0,0.0,0.0,low_value,8860,1,0.971408568558166,1
North,Tier_3,store,,mid,one_time,False,1.0,68.08,68.08,11.36,2.0,346,68.08,0.0,1.0,2.0,0.1375,10.115,0.0,,,0.0,3.0,31.666666666666668,4.333333333333333,2.0,0.0,,,,,low_value,8086,1,0.9711479418037402,2
South,Tier_1,online,,mid,one_time,True,1.0,48.06,48.06,2.68,1.0,479,48.06,1.0,0.0,1.0,0.0527,20.07,0.0,,,0.0,5.0,36.8,4.2,0.0,0.0,2.0,1.0,0.0,0.0,low_value,8929,1,0.9709576767918159,3
South,Tier_2,online,,mid,one_time,True,1.0,31.53,31.53,4.33,1.0,391,31.53,1.0,0.0,1.0,0.1206,10.63,0.0,,,0.0,4.0,44.0,4.75,2.0,1.0,,,,,low_value,9033,1,0.9698898230358349,4
North,Tier_1,online,bronze,low,one_time,False,1.0,89.26,89.26,6.59,2.0,1227,89.26,1.0,0.0,2.0,0.07295,22.255,0.0,,,0.0,5.0,24.4,4.8,2.0,1.0,,,,,low_value,7962,1,0.9685659742532522,5
North,Tier_1,online,,mid,one_time,True,1.0,54.25,54.25,6.69,1.0,645,54.25,0.0,1.0,1.0,0.1098,11.02,0.0,,,0.0,3.0,13.333333333333334,5.0,1.0,0.0,1.0,1.0,0.0,0.0,low_value,8161,1,0.9671444020413301,6
South,Tier_3,online,,low,one_time,False,1.0,40.59,40.59,6.25,1.0,659,40.59,0.0,1.0,1.0,0.1334,8.07,0.0,,,0.0,2.0,28.0,3.0,1.0,0.0,,,,,low_value,8962,1,0.9671059714281579,7
South,Tier_3,store,,low,one_time,False,1.0,70.63,70.63,6.67,1.0,728,70.63,0.0,1.0,1.0,0.0863,24.95,0.0,,,0.0,3.0,18.33333333333333,2.0,0.0,0.0,,,,,low_value,8779,1,0.9657564545115992,8
Central,Tier_1,online,,low,one_time,True,1.0,30.91,30.91,4.23,1.0,1177,30.91,0.0,1.0,1.0,0.1205,6.79,0.0,,,0.0,1.0,34.0,5.0,0.0,0.0,1.0,1.0,1.0,27.07,low_value,8796,1,0.9632224935989139,9
East,Tier_3,online,,upper_mid,one_time,True,1.0,106.73,106.73,19.01,2.0,722,106.73,1.0,0.0,4.0,0.1445,15.045,0.0,,,0.0,6.0,54.333333333333336,5.5,2.0,1.0,2.0,2.0,0.0,0.0,low_value,9077,1,0.9630495877360703,10
