model,threshold,precision,recall,f1,specificity,tp,fp,tn,fn,positive_rate
logreg_balanced,0.1,0.21072226358897989,0.991822429906542,0.3475946775844422,0.23262548262548263,1698,6360,1928,14,0.8058
logreg_balanced,0.15,0.22652232746955345,0.977803738317757,0.36783124588002636,0.31032818532818535,1674,5716,2572,38,0.739
logreg_balanced,0.2,0.24663475919832487,0.9632009345794392,0.39271255060728744,0.392253861003861,1649,5037,3251,63,0.6686
logreg_balanced,0.25,0.26981732864085806,0.9404205607476636,0.4193254329990884,0.47430019305019305,1610,4357,3931,102,0.5967
logreg_balanced,0.3,0.2944935162563428,0.915303738317757,0.44561353618654914,0.5470559845559846,1567,3754,4534,145,0.5321
logreg_balanced,0.35,0.31648489932885904,0.8814252336448598,0.46574074074074073,0.606780888030888,1509,3259,5029,203,0.4768
logreg_balanced,0.4,0.3461447212336892,0.8522196261682243,0.49232326640796353,0.6674710424710425,1459,2756,5532,253,0.4215
logreg_balanced,0.45,0.372408293460925,0.8183411214953271,0.5118743149433687,0.7151303088803089,1401,2361,5927,311,0.3762
logreg_balanced,0.5,0.40157242213486544,0.7757009345794392,0.5291890814903367,0.7612210424710425,1328,1979,6309,384,0.3307
logreg_balanced,0.55,0.43292894280762567,0.7295560747663551,0.5433978681748967,0.8026061776061776,1249,1636,6652,463,0.2885
logreg_balanced,0.6,0.4624648735447611,0.6728971962616822,0.5481798715203426,0.8384411196911197,1152,1339,6949,560,0.2491
logreg_balanced,0.65,0.4995291902071563,0.6197429906542056,0.5531803962460897,0.871742277992278,1061,1063,7225,651,0.2124
logreg_balanced,0.7,0.526463963963964,0.5461448598130841,0.5361238532110092,0.8985279922779923,935,841,7447,777,0.1776
logreg_balanced,0.75,0.57416607523066,0.4725467289719626,0.518423582185197,0.9276061776061776,809,600,7688,903,0.1409
logreg_balanced,0.8,0.6247637051039697,0.3860981308411215,0.4772563176895307,0.9520994208494209,661,397,7891,1051,0.1058
logreg_balanced,0.85,0.6857962697274032,0.27920560747663553,0.39684516396845165,0.9735762548262549,478,219,8069,1234,0.0697
logreg_balanced,0.9,0.727735368956743,0.16705607476635514,0.2717339667458432,0.9870897683397684,286,107,8181,1426,0.0393
rf_balanced,0.1,0.27120609675281643,0.9561915887850467,0.4225606608156944,0.4692326254826255,1637,4399,3889,75,0.6036
rf_balanced,0.15,0.3310623802427081,0.9082943925233645,0.4852551100015603,0.6208976833976834,1555,3142,5146,157,0.4697
rf_balanced,0.2,0.3804432855280313,0.8522196261682243,0.5260501171804579,0.7133204633204633,1459,2376,5912,253,0.3835
rf_balanced,0.25,0.4227918468190241,0.7996495327102804,0.5531313131313131,0.7744932432432432,1369,1869,6419,343,0.3238
rf_balanced,0.3,0.4621295279912184,0.7377336448598131,0.5682789651293588,0.8226351351351351,1263,1470,6818,449,0.2733
rf_balanced,0.35,0.4957044673539519,0.6740654205607477,0.5712871287128712,0.8583494208494209,1154,1174,7114,558,0.2328
rf_balanced,0.4,0.5232383808095952,0.6115654205607477,0.5639644492324266,0.8848938223938224,1047,954,7334,665,0.2001
rf_balanced,0.45,0.5560667050028753,0.5648364485981309,0.5604172703564184,0.9068532818532818,967,772,7516,745,0.1739
rf_balanced,0.5,0.5896739130434783,0.5070093457943925,0.5452261306532663,0.9271235521235521,868,604,7684,844,0.1472
rf_balanced,0.55,0.6350123864574732,0.4491822429906542,0.5261717413616148,0.9466698841698842,769,442,7846,943,0.1211
rf_balanced,0.6,0.6673469387755102,0.3820093457943925,0.48588410104011887,0.9606660231660231,654,326,7962,1058,0.098
rf_balanced,0.65,0.6971736204576043,0.30257009345794394,0.4219959266802444,0.9728523166023166,518,225,8063,1194,0.0743
rf_balanced,0.7,0.7455830388692579,0.24649532710280375,0.37050043898156276,0.9826254826254827,422,144,8144,1290,0.0566
rf_balanced,0.75,0.7871287128712872,0.18574766355140188,0.3005671077504726,0.9896235521235521,318,86,8202,1394,0.0404
rf_balanced,0.8,0.8169014084507042,0.13551401869158877,0.23246492985971945,0.9937258687258688,232,52,8236,1480,0.0284
rf_balanced,0.85,0.8588235294117647,0.0852803738317757,0.155154091392136,0.997104247104247,146,24,8264,1566,0.017
rf_balanced,0.9,0.9021739130434783,0.04848130841121495,0.09201773835920177,0.9989140926640927,83,9,8279,1629,0.0092
