customer_id,cluster,segment_name
C006336,2,Dormant 2
C007348,2,Dormant 2
C007736,2,Dormant 2
C010180,2,Dormant 2
C017800,2,Dormant 2
C024398,2,Dormant 2
C025323,2,Dormant 2
C026160,2,Dormant 2
C029058,2,Dormant 2
C031900,2,Dormant 2
C035270,2,Dormant 2
C035980,2,Dormant 2
C038299,2,Dormant 2
C040897,2,Dormant 2
C045146,2,Dormant 2
C000508,2,Dormant 2
C002621,2,Dormant 2
C007607,2,Dormant 2
C007701,2,Dormant 2
C011266,2,Dormant 2
C014841,2,Dormant 2
C023770,2,Dormant 2
C029460,2,Dormant 2
C029708,2,Dormant 2
C030144,2,Dormant 2
C032524,2,Dormant 2
C038504,2,Dormant 2
C041370,2,Dormant 2
C048050,2,Dormant 2
C000154,2,Dormant 2
C000598,2,Dormant 2
C002988,2,Dormant 2
C008238,2,Dormant 2
C009303,2,Dormant 2
C010861,2,Dormant 2
C011183,2,Dormant 2
C011863,2,Dormant 2
C012045,2,Dormant 2
C013295,2,Dormant 2
C013646,2,Dormant 2
C014429,2,Dormant 2
C014751,2,Dormant 2
C015606,2,Dormant 2
C018080,2,Dormant 2
C018718,2,Dormant 2
C019507,2,Dormant 2
C021132,2,Dormant 2
C021292,2,Dormant 2
C024015,2,Dormant 2
C024743,2,Dormant 2
C024799,2,Dormant 2
C026147,2,Dormant 2
C027444,2,Dormant 2
C030138,2,Dormant 2
C030616,2,Dormant 2
C030790,2,Dormant 2
C031302,2,Dormant 2
C031368,2,Dormant 2
C032894,2,Dormant 2
C033539,2,Dormant 2
C033740,2,Dormant 2
C034616,2,Dormant 2
C035477,2,Dormant 2
C036668,2,Dormant 2
C038114,2,Dormant 2
C038391,2,Dormant 2
C038502,2,Dormant 2
C039220,2,Dormant 2
C039719,2,Dormant 2
C046228,2,Dormant 2
C049069,2,Dormant 2
C000067,2,Dormant 2
C001778,2,Dormant 2
C002395,2,Dormant 2
C004727,2,Dormant 2
C005263,2,Dormant 2
C005309,2,Dormant 2
C005732,2,Dormant 2
C005741,2,Dormant 2
C006511,2,Dormant 2
C007120,2,Dormant 2
C007704,2,Dormant 2
C007869,2,Dormant 2
C008165,2,Dormant 2
C008392,2,Dormant 2
C008723,2,Dormant 2
C009707,2,Dormant 2
C010291,2,Dormant 2
C010583,2,Dormant 2
C013968,2,Dormant 2
C014494,2,Dormant 2
C014532,2,Dormant 2
C015047,2,Dormant 2
C015481,2,Dormant 2
C015892,2,Dormant 2
C016454,2,Dormant 2
C019466,2,Dormant 2
C019776,2,Dormant 2
C019833,2,Dormant 2
C020009,2,Dormant 2
C020080,2,Dormant 2
C020608,2,Dormant 2
C020873,2,Dormant 2
C021310,2,Dormant 2
C021862,2,Dormant 2
C022108,2,Dormant 2
C023278,2,Dormant 2
C025726,2,Dormant 2
C031926,2,Dormant 2
C032389,2,Dormant 2
C034221,2,Dormant 2
C034642,2,Dormant 2
C038624,2,Dormant 2
C040335,2,Dormant 2
C041100,2,Dormant 2
C041834,2,Dormant 2
C042969,2,Dormant 2
C045376,2,Dormant 2
C045488,2,Dormant 2
C046565,2,Dormant 2
C047005,2,Dormant 2
C047229,2,Dormant 2
C049049,2,Dormant 2
C049763,2,Dormant 2
C000593,2,Dormant 2
C003147,2,Dormant 2
C006791,2,Dormant 2
C013506,2,Dormant 2
C015912,2,Dormant 2
C024539,2,Dormant 2
C024922,2,Dormant 2
C031223,2,Dormant 2
C040338,2,Dormant 2
C002789,2,Dormant 2
C010833,2,Dormant 2
C012931,2,Dormant 2
C015723,2,Dormant 2
C025862,2,Dormant 2
C028262,2,Dormant 2
C030643,2,Dormant 2
C033071,2,Dormant 2
C043955,2,Dormant 2
C048052,2,Dormant 2
C000428,2,Dormant 2
C001549,2,Dormant 2
C001953,2,Dormant 2
C003130,2,Dormant 2
C003288,2,Dormant 2
C004632,2,Dormant 2
C004939,2,Dormant 2
C006620,2,Dormant 2
C008441,2,Dormant 2
C008916,2,Dormant 2
C009896,2,Dormant 2
C010385,2,Dormant 2
C011248,2,Dormant 2
C012032,2,Dormant 2
C012114,2,Dormant 2
C012567,2,Dormant 2
C013405,2,Dormant 2
C014065,2,Dormant 2
C016754,2,Dormant 2
C019827,2,Dormant 2
C020768,2,Dormant 2
C021991,2,Dormant 2
C025114,2,Dormant 2
C025193,2,Dormant 2
C025394,2,Dormant 2
C027942,2,Dormant 2
C029107,2,Dormant 2
C034060,2,Dormant 2
C034896,2,Dormant 2
C035751,2,Dormant 2
C037819,2,Dormant 2
C038865,2,Dormant 2
C039472,2,Dormant 2
C039546,2,Dormant 2
C039741,2,Dormant 2
C040503,2,Dormant 2
C042537,2,Dormant 2
C043311,2,Dormant 2
C043362,2,Dormant 2
C044697,2,Dormant 2
C044978,2,Dormant 2
C046041,2,Dormant 2
C046078,2,Dormant 2
C047384,2,Dormant 2
C048797,2,Dormant 2
C049707,2,Dormant 2
C000029,2,Dormant 2
C000060,2,Dormant 2
C000429,2,Dormant 2
C000585,2,Dormant 2
C000939,2,Dormant 2
C001708,2,Dormant 2
C004699,2,Dormant 2
C005176,2,Dormant 2
C005442,2,Dormant 2
C005506,2,Dormant 2
C006015,2,Dormant 2
C007462,2,Dormant 2
C008406,2,Dormant 2
C010595,2,Dormant 2
C012598,2,Dormant 2
C013644,2,Dormant 2
C014410,2,Dormant 2
C014734,2,Dormant 2
C015226,2,Dormant 2
C017335,2,Dormant 2
C018407,2,Dormant 2
C021079,2,Dormant 2
C022123,2,Dormant 2
C022184,2,Dormant 2
C022271,2,Dormant 2
C022846,2,Dormant 2
C023652,2,Dormant 2
C025348,2,Dormant 2
