model,threshold,precision,recall,f1,specificity,tp,fp,tn,fn,positive_rate
lightgbm_v2,0.1,0.17805858701895463,0.985691573926868,0.3016297737776697,0.19719495091164096,1240,5724,1406,18,0.8302336671435384
lightgbm_v2,0.15,0.1911284046692607,0.9761526232114467,0.3196667968241573,0.2711079943899018,1228,5197,1933,30,0.7659752026704817
lightgbm_v2,0.2,0.2047659574468085,0.9562798092209857,0.3373054815645591,0.3447405329593268,1203,4672,2458,55,0.7004053409632809
lightgbm_v2,0.25,0.22243382212911827,0.9284578696343402,0.3588876939622062,0.4273492286115007,1168,4083,3047,90,0.6260133524082022
lightgbm_v2,0.3,0.24283559577677225,0.895866454689984,0.3820986607899644,0.5071528751753156,1127,3514,3616,131,0.5532904148783977
lightgbm_v2,0.35,0.264892578125,0.8624801271860095,0.40530444527456116,0.5776998597475456,1085,3011,4119,173,0.48831664282308057
lightgbm_v2,0.4,0.28528363935324746,0.8275039745627981,0.42429182800081516,0.6342215988779804,1041,2608,4522,217,0.4350262279446829
lightgbm_v2,0.45,0.3041871921182266,0.7853736089030207,0.43852640923213493,0.6830294530154277,988,2260,4870,270,0.3872198378636147
lightgbm_v2,0.5,0.32810320781032076,0.7480127186009539,0.4561318468250121,0.7297335203366059,941,1927,5203,317,0.3419170243204578
lightgbm_v2,0.55,0.35011801730920533,0.7074721780604134,0.4684210526315789,0.7683029453015428,890,1652,5478,368,0.30305197901764425
lightgbm_v2,0.6,0.3794705062703205,0.6494435612082671,0.4790384051597772,0.8126227208976157,817,1336,5794,441,0.2566762041010968
lightgbm_v2,0.65,0.4177071509648127,0.5850556438791733,0.4874172185430464,0.856100981767181,736,1026,6104,522,0.2100619933237959
lightgbm_v2,0.7,0.4585185185185185,0.49205087440381556,0.4746932515337423,0.8974754558204768,619,731,6399,639,0.1609442060085837
lightgbm_v2,0.75,0.5063025210084033,0.383147853736089,0.43619909502262433,0.9340813464235624,482,470,6660,776,0.11349546971864569
lightgbm_v2,0.8,0.5905923344947736,0.26947535771065184,0.3700873362445415,0.9670406732117812,339,235,6895,919,0.06843109203624224
lightgbm_v2,0.85,0.7051282051282052,0.13116057233704292,0.22117962466487934,0.9903225806451613,165,69,7061,1093,0.027896995708154508
lightgbm_v2,0.9,0.6538461538461539,0.02702702702702703,0.051908396946564885,0.9974754558204768,34,18,7112,1224,0.00619933237958989
