customer_id,rank,product_id,method
C000001,1,P03339,hybrid_svd
C000001,2,P04242,hybrid_svd
C000001,3,P03873,hybrid_svd
C000001,4,P03700,hybrid_svd
C000001,5,P01475,hybrid_svd
C000001,6,P01866,hybrid_svd
C000001,7,P04930,hybrid_svd
C000001,8,P03670,hybrid_svd
C000001,9,P04954,hybrid_svd
C000001,10,P00181,hybrid_svd
C000003,1,P02428,hybrid_svd
C000003,2,P01083,hybrid_svd
C000003,3,P00282,hybrid_svd
C000003,4,P02922,hybrid_svd
C000003,5,P04792,hybrid_svd
C000003,6,P02740,hybrid_svd
C000003,7,P02076,hybrid_svd
C000003,8,P00110,hybrid_svd
C000003,9,P04915,hybrid_svd
C000003,10,P04198,hybrid_svd
C000004,1,P04619,hybrid_svd
C000004,2,P01319,hybrid_svd
C000004,3,P02484,hybrid_svd
C000004,4,P02351,hybrid_svd
C000004,5,P02459,hybrid_svd
C000004,6,P01117,hybrid_svd
C000004,7,P04072,hybrid_svd
C000004,8,P00501,hybrid_svd
C000004,9,P01383,hybrid_svd
C000004,10,P04943,hybrid_svd
C000005,1,P02197,hybrid_svd
C000005,2,P04566,hybrid_svd
C000005,3,P04351,hybrid_svd
C000005,4,P01244,hybrid_svd
C000005,5,P00760,hybrid_svd
C000005,6,P02817,hybrid_svd
C000005,7,P01955,hybrid_svd
C000005,8,P03417,hybrid_svd
C000005,9,P04100,hybrid_svd
C000005,10,P03179,hybrid_svd
C000006,1,P01145,hybrid_svd
C000006,2,P04013,hybrid_svd
C000006,3,P02973,hybrid_svd
C000006,4,P02772,hybrid_svd
C000006,5,P00289,hybrid_svd
C000006,6,P03988,hybrid_svd
C000006,7,P04943,hybrid_svd
C000006,8,P00793,hybrid_svd
C000006,9,P02444,hybrid_svd
C000006,10,P01866,hybrid_svd
C000007,1,P02564,cold_start
C000007,2,P04109,cold_start
C000007,3,P04887,cold_start
C000007,4,P01800,cold_start
C000007,5,P02382,cold_start
C000007,6,P00200,cold_start
C000007,7,P01869,cold_start
C000007,8,P03437,cold_start
C000007,9,P01665,cold_start
C000007,10,P00215,cold_start
C000008,1,P03139,hybrid_svd
C000008,2,P02622,hybrid_svd
C000008,3,P02806,hybrid_svd
C000008,4,P02776,hybrid_svd
C000008,5,P01573,hybrid_svd
C000008,6,P00315,hybrid_svd
C000008,7,P04709,hybrid_svd
C000008,8,P03485,hybrid_svd
C000008,9,P02034,hybrid_svd
C000008,10,P04982,hybrid_svd
C000009,1,P03333,hybrid_svd
C000009,2,P02206,hybrid_svd
C000009,3,P01376,hybrid_svd
C000009,4,P04371,hybrid_svd
C000009,5,P04619,hybrid_svd
C000009,6,P01173,hybrid_svd
C000009,7,P04203,hybrid_svd
C000009,8,P04568,hybrid_svd
C000009,9,P01180,hybrid_svd
C000009,10,P03597,hybrid_svd
C000010,1,P02428,hybrid_svd
C000010,2,P03648,hybrid_svd
C000010,3,P01083,hybrid_svd
C000010,4,P00282,hybrid_svd
C000010,5,P00110,hybrid_svd
C000010,6,P04792,hybrid_svd
C000010,7,P00304,hybrid_svd
C000010,8,P04915,hybrid_svd
C000010,9,P02922,hybrid_svd
C000010,10,P01830,hybrid_svd
C000011,1,P00651,hybrid_svd
C000011,2,P03070,hybrid_svd
C000011,3,P03612,hybrid_svd
C000011,4,P03658,hybrid_svd
C000011,5,P04550,hybrid_svd
C000011,6,P01116,hybrid_svd
C000011,7,P04663,hybrid_svd
C000011,8,P02333,hybrid_svd
C000011,9,P02410,hybrid_svd
C000011,10,P01433,hybrid_svd
C000012,1,P04161,hybrid_svd
C000012,2,P00208,hybrid_svd
C000012,3,P02035,hybrid_svd
C000012,4,P03682,hybrid_svd
C000012,5,P01736,hybrid_svd
C000012,6,P00267,hybrid_svd
C000012,7,P04380,hybrid_svd
C000012,8,P01443,hybrid_svd
C000012,9,P04990,hybrid_svd
C000012,10,P01312,hybrid_svd
C000013,1,P01736,hybrid_svd
C000013,2,P00287,hybrid_svd
C000013,3,P03802,hybrid_svd
C000013,4,P02333,hybrid_svd
C000013,5,P04742,hybrid_svd
C000013,6,P03277,hybrid_svd
C000013,7,P03263,hybrid_svd
C000013,8,P04204,hybrid_svd
C000013,9,P01675,hybrid_svd
C000013,10,P04010,hybrid_svd
C000014,1,P04693,hybrid_svd
C000014,2,P01060,hybrid_svd
C000014,3,P04162,hybrid_svd
C000014,4,P02281,hybrid_svd
C000014,5,P03802,hybrid_svd
C000014,6,P03488,hybrid_svd
C000014,7,P02782,hybrid_svd
C000014,8,P01647,hybrid_svd
C000014,9,P04026,hybrid_svd
C000014,10,P03942,hybrid_svd
C000015,1,P04611,hybrid_svd
C000015,2,P04363,hybrid_svd
C000015,3,P00926,hybrid_svd
C000015,4,P02206,hybrid_svd
C000015,5,P01955,hybrid_svd
C000015,6,P01780,hybrid_svd
C000015,7,P01555,hybrid_svd
C000015,8,P03733,hybrid_svd
C000015,9,P01796,hybrid_svd
C000015,10,P02573,hybrid_svd
C000016,1,P01019,hybrid_svd
C000016,2,P02716,hybrid_svd
C000016,3,P00450,hybrid_svd
C000016,4,P04582,hybrid_svd
C000016,5,P04744,hybrid_svd
C000016,6,P00777,hybrid_svd
C000016,7,P03603,hybrid_svd
C000016,8,P04046,hybrid_svd
C000016,9,P02760,hybrid_svd
C000016,10,P01917,hybrid_svd
C000018,1,P01793,hybrid_svd
C000018,2,P02007,hybrid_svd
C000018,3,P02895,hybrid_svd
C000018,4,P01145,hybrid_svd
C000018,5,P02268,hybrid_svd
C000018,6,P01504,hybrid_svd
C000018,7,P02479,hybrid_svd
C000018,8,P02084,hybrid_svd
C000018,9,P00146,hybrid_svd
C000018,10,P02542,hybrid_svd
C000020,1,P02760,hybrid_svd
C000020,2,P01397,hybrid_svd
C000020,3,P03733,hybrid_svd
C000020,4,P00209,hybrid_svd
C000020,5,P00983,hybrid_svd
C000020,6,P03333,hybrid_svd
C000020,7,P03529,hybrid_svd
C000020,8,P00027,hybrid_svd
C000020,9,P02620,hybrid_svd
C000020,10,P02181,hybrid_svd
C000023,1,P03423,hybrid_svd
C000023,2,P03802,hybrid_svd
C000023,3,P04059,hybrid_svd
C000023,4,P01888,hybrid_svd
C000023,5,P01166,hybrid_svd
C000023,6,P03172,hybrid_svd
C000023,7,P02956,hybrid_svd
C000023,8,P04636,hybrid_svd
C000023,9,P01156,hybrid_svd
C000023,10,P04128,hybrid_svd
C000025,1,P02334,hybrid_svd
C000025,2,P03299,hybrid_svd
C000025,3,P04237,hybrid_svd
C000025,4,P00788,hybrid_svd
C000025,5,P00216,hybrid_svd
C000025,6,P04059,hybrid_svd
C000025,7,P02741,hybrid_svd
C000025,8,P04272,hybrid_svd
C000025,9,P04204,hybrid_svd
C000025,10,P01024,hybrid_svd
C000027,1,P04046,hybrid_svd
C000027,2,P01145,hybrid_svd
C000027,3,P04975,hybrid_svd
C000027,4,P01797,hybrid_svd
C000027,5,P04582,hybrid_svd
C000027,6,P00024,hybrid_svd
C000027,7,P04382,hybrid_svd
C000027,8,P00311,hybrid_svd
C000027,9,P00180,hybrid_svd
C000027,10,P00620,hybrid_svd
C000030,1,P01145,hybrid_svd
C000030,2,P02169,hybrid_svd
C000030,3,P00368,hybrid_svd
C000030,4,P02611,hybrid_svd
C000030,5,P01481,hybrid_svd
C000030,6,P04182,hybrid_svd
C000030,7,P00536,hybrid_svd
C000030,8,P04395,hybrid_svd
C000030,9,P00854,hybrid_svd
C000030,10,P04491,hybrid_svd
C000031,1,P03838,hybrid_svd
C000031,2,P04242,hybrid_svd
