customer_id,cluster_id,segment_name
C006336,3,Non-Purchasers
C007348,3,Non-Purchasers
C007736,3,Non-Purchasers
C010180,3,Non-Purchasers
C017800,3,Non-Purchasers
C024398,3,Non-Purchasers
C025323,3,Non-Purchasers
C026160,3,Non-Purchasers
C029058,3,Non-Purchasers
C031900,3,Non-Purchasers
C035270,3,Non-Purchasers
C035980,3,Non-Purchasers
C038299,3,Non-Purchasers
C040897,3,Non-Purchasers
C045146,3,Non-Purchasers
C000508,3,Non-Purchasers
C002621,3,Non-Purchasers
C007607,3,Non-Purchasers
C007701,3,Non-Purchasers
C011266,3,Non-Purchasers
C014841,3,Non-Purchasers
C023770,3,Non-Purchasers
C029460,3,Non-Purchasers
C029708,3,Non-Purchasers
C030144,3,Non-Purchasers
C032524,3,Non-Purchasers
C038504,3,Non-Purchasers
C041370,3,Non-Purchasers
C048050,3,Non-Purchasers
C000154,3,Non-Purchasers
C000598,3,Non-Purchasers
C002988,3,Non-Purchasers
C008238,3,Non-Purchasers
C009303,3,Non-Purchasers
C010861,3,Non-Purchasers
C011183,3,Non-Purchasers
C011863,3,Non-Purchasers
C012045,3,Non-Purchasers
C013295,3,Non-Purchasers
C013646,3,Non-Purchasers
C014429,3,Non-Purchasers
C014751,3,Non-Purchasers
C015606,3,Non-Purchasers
C018080,3,Non-Purchasers
C018718,3,Non-Purchasers
C019507,3,Non-Purchasers
C021132,3,Non-Purchasers
C021292,3,Non-Purchasers
C024015,3,Non-Purchasers
C024743,3,Non-Purchasers
C024799,3,Non-Purchasers
C026147,3,Non-Purchasers
C027444,3,Non-Purchasers
C030138,3,Non-Purchasers
C030616,3,Non-Purchasers
C030790,3,Non-Purchasers
C031302,3,Non-Purchasers
C031368,3,Non-Purchasers
C032894,3,Non-Purchasers
C033539,3,Non-Purchasers
C033740,3,Non-Purchasers
C034616,3,Non-Purchasers
C035477,3,Non-Purchasers
C036668,3,Non-Purchasers
C038114,3,Non-Purchasers
C038391,3,Non-Purchasers
C038502,3,Non-Purchasers
C039220,3,Non-Purchasers
C039719,3,Non-Purchasers
C046228,3,Non-Purchasers
C049069,3,Non-Purchasers
C000067,3,Non-Purchasers
C001778,3,Non-Purchasers
C002395,3,Non-Purchasers
C004727,3,Non-Purchasers
C005263,3,Non-Purchasers
C005309,3,Non-Purchasers
C005732,3,Non-Purchasers
C005741,3,Non-Purchasers
C006511,3,Non-Purchasers
C007120,3,Non-Purchasers
C007704,3,Non-Purchasers
C007869,3,Non-Purchasers
C008165,3,Non-Purchasers
C008392,3,Non-Purchasers
C008723,3,Non-Purchasers
C009707,3,Non-Purchasers
C010291,3,Non-Purchasers
C010583,3,Non-Purchasers
C013968,3,Non-Purchasers
C014494,3,Non-Purchasers
C014532,3,Non-Purchasers
C015047,3,Non-Purchasers
C015481,3,Non-Purchasers
C015892,3,Non-Purchasers
C016454,3,Non-Purchasers
C019466,3,Non-Purchasers
C019776,3,Non-Purchasers
C019833,3,Non-Purchasers
C020009,3,Non-Purchasers
C020080,3,Non-Purchasers
C020608,3,Non-Purchasers
C020873,3,Non-Purchasers
C021310,3,Non-Purchasers
C021862,3,Non-Purchasers
C022108,3,Non-Purchasers
C023278,3,Non-Purchasers
C025726,3,Non-Purchasers
