feature,importance_gain,importance_split
pre_90d_aov,150.49838849902153,115.0
recency_days,139.75380218029022,109.5
avg_item_discount_pct,135.4784997701645,106.0
avg_basket_size,131.8894480764866,104.5
tenure_days,107.82383593916893,87.5
return_rate_per_unit,98.00079143047333,78.5
pre_90d_revenue,97.60551896691322,76.5
online_order_share,93.94731417298317,72.5
total_sessions,84.62701517343521,66.0
total_orders,74.38160625100136,50.0
segment_campaign,67.46253401041031,48.0
total_returns,47.53949457406998,36.5
campaign_id,43.1309594810009,32.5
income_band,35.43299290537834,28.5
log_tenure_days,29.96160253882408,24.0
predicted_business_segment_at_send,29.38224521279335,19.0
campaigns_targeted,29.025163620710373,25.5
log_pre_90d_revenue,25.441013425588608,20.5
offer_strength,15.740624487400055,11.5
pre_90d_orders,14.04586398601532,12.5
assignment_month,10.14583545923233,7.5
assignment_dayofweek,6.330400496721268,4.5
campaign_channel,4.399975538253784,4.0
order_density_90d,2.0833190381526947,1.5
targeting_rule_source,2.020186483860016,2.0
offer_type,1.4715004861354828,1.5
campaign_type,1.2712549567222595,1.0
customer_value_band,0.475151002407074,0.5
is_new_customer,0.0,0.0
targeting_is_rule_based,0.0,0.0
